,Country,cluster
89,Algeria,dark purple
149,Andorra,dark purple
209,Antigua and Barbuda,dark purple
299,Australia,dark purple
329,Austria,dark purple
389,Bahamas,dark purple
479,Barbados,dark purple
509,Belarus,dark purple
539,Belgium,dark purple
569,Belize,dark purple
629,Bermuda,dark purple
689,Bolivia,dark purple
779,Brazil,dark purple
989,Canada,dark purple
1109,Chile,dark purple
1289,Costa Rica,dark purple
1319,Cote d'Ivoire,dark purple
1379,Cuba,dark purple
1409,Cyprus,dark purple
1499,Denmark,dark purple
1559,Dominica,dark purple
1589,Dominican Republic,dark purple
1649,Ecuador,dark purple
1679,Egypt,dark purple
1709,El Salvador,dark purple
1799,Estonia,dark purple
1919,Finland,dark purple
1949,France,dark purple
2069,Germany,dark purple
2189,Grenada,dark purple
2249,Guatemala,dark purple
2369,Haiti,dark purple
2399,Honduras,dark purple
2459,Iceland,dark purple
2579,Iraq,dark purple
2609,Ireland,dark purple
2639,Israel,dark purple
2669,Italy,dark purple
2759,Jordan,dark purple
2879,Kuwait,dark purple
2969,Latvia,dark purple
3119,Lithuania,dark purple
3149,Luxembourg,dark purple
3209,Malawi,dark purple
3239,Malaysia,dark purple
3329,Malta,dark purple
3419,Mauritius,dark purple
3449,Mexico,dark purple
3539,Monaco,dark purple
3809,Netherlands,dark purple
3839,New Zealand,dark purple
3869,Nicaragua,dark purple
4079,Norway,dark purple
4109,Oman,dark purple
4139,Pakistan,dark purple
4289,Paraguay,dark purple
4409,Portugal,dark purple
4469,Qatar,dark purple
4589,Saint Kitts and Nevis,dark purple
4619,Saint Lucia,dark purple
4649,Saint Vincent and the Grenadines,dark purple
4709,San Marino,dark purple
4769,Saudi Arabia,dark purple
5279,Sweden,dark purple
5309,Switzerland,dark purple
5339,Syria,dark purple
5579,Trinidad and Tobago,dark purple
5639,Turkey,dark purple
5759,Ukraine,dark purple
5789,United Arab Emirates,dark purple
5819,United Kingdom,dark purple
5849,United States,dark purple
5879,United States Virgin Islands,dark purple
5909,Uruguay,dark purple
5999,Venezuela,dark purple
6119,Zambia,dark purple
59,Albania,pink
119,American Samoa,pink
239,Argentina,pink
269,Armenia,pink
359,Azerbaijan,pink
719,Bosnia and Herzegovina,pink
809,Brunei,pink
839,Bulgaria,pink
929,Cambodia,pink
1139,China,pink
1169,Colombia,pink
1259,Cook Islands,pink
1349,Croatia,pink
1439,Czechia,pink
1619,East Timor,pink
1889,Fiji,pink
2039,Georgia,pink
2219,Guam,pink
2429,Hungary,pink
2489,India,pink
2519,Indonesia,pink
2699,Jamaica,pink
2729,Japan,pink
2789,Kazakhstan,pink
2849,Kiribati,pink
2909,Kyrgyzstan,pink
2939,Laos,pink
3269,Maldives,pink
3299,Mali,pink
3359,Marshall Islands,pink
3389,Mauritania,pink
3479,Micronesia (country),pink
3509,Moldova,pink
3599,Montenegro,pink
3689,Myanmar,pink
3719,Namibia,pink
3749,Nauru,pink
3929,Nigeria,pink
3959,Niue,pink
3989,North Korea,pink
4019,North Macedonia,pink
4049,Northern Mariana Islands,pink
4169,Palau,pink
4229,Panama,pink
4259,Papua New Guinea,pink
4319,Peru,pink
4349,Philippines,pink
4379,Poland,pink
4439,Puerto Rico,pink
4499,Romania,pink
4529,Russia,pink
4679,Samoa,pink
4739,Sao Tome and Principe,pink
4829,Serbia,pink
4859,Seychelles,pink
4919,Singapore,pink
4949,Slovakia,pink
4979,Slovenia,pink
5009,Solomon Islands,pink
5099,South Korea,pink
5189,Sri Lanka,pink
5369,Taiwan,pink
5399,Tajikistan,pink
5459,Thailand,pink
5519,Tokelau,pink
5549,Tonga,pink
5669,Turkmenistan,pink
5699,Tuvalu,pink
5939,Uzbekistan,pink
5969,Vanuatu,pink
6029,Vietnam,pink
6059,World,pink
6149,Zimbabwe,pink
29,Afghanistan,purple
179,Angola,purple
419,Bahrain,purple
449,Bangladesh,purple
599,Benin,purple
659,Bhutan,purple
749,Botswana,purple
869,Burkina Faso,purple
899,Burundi,purple
959,Cameroon,purple
1019,Cape Verde,purple
1049,Central African Republic,purple
1079,Chad,purple
1199,Comoros,purple
1229,Congo,purple
1469,Democratic Republic of Congo,purple
1529,Djibouti,purple
1739,Equatorial Guinea,purple
1769,Eritrea,purple
1829,Eswatini,purple
1859,Ethiopia,purple
1979,Gabon,purple
2009,Gambia,purple
2099,Ghana,purple
2129,Greece,purple
2159,Greenland,purple
2279,Guinea,purple
2309,Guinea-Bissau,purple
2339,Guyana,purple
2549,Iran,purple
2819,Kenya,purple
2999,Lebanon,purple
3029,Lesotho,purple
3059,Liberia,purple
3089,Libya,purple
3179,Madagascar,purple
3569,Mongolia,purple
3629,Morocco,purple
3659,Mozambique,purple
3779,Nepal,purple
3899,Niger,purple
4199,Palestine,purple
4559,Rwanda,purple
4799,Senegal,purple
4889,Sierra Leone,purple
5039,Somalia,purple
5069,South Africa,purple
5129,South Sudan,purple
5159,Spain,purple
5219,Sudan,purple
5249,Suriname,purple
5429,Tanzania,purple
5489,Togo,purple
5609,Tunisia,purple
5729,Uganda,purple
6089,Yemen,purple
